seed,family,teacher,clone,agree
900000,END_TURN,END_TURN,END_TURN,True
900000,auction,auction_bid(+$100),auction_bid(+$100),True
900000,END_TURN,END_TURN,END_TURN,True
900000,END_TURN,END_TURN,END_TURN,True
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,BUY_PROPERTY,BUY_PROPERTY,BUY_PROPERTY,True
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,auction,auction_bid(+$100),auction_bid(+$100),True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,exch_trade,"exch_trade(player=1, offer=18, req=8)","exch_trade(player=1, offer=9, req=8)",False
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,BUY_PROPERTY,BUY_PROPERTY,BUY_PROPERTY,True
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,auction,auction_bid(+$100),auction_bid(+$100),True
900000,auction,auction_bid(+$50),auction_bid(+$100),False
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,exch_trade,"exch_trade(player=1, offer=18, req=8)","exch_trade(player=1, offer=6, req=8)",False
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,BUY_PROPERTY,BUY_PROPERTY,BUY_PROPERTY,True
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,exch_trade,"exch_trade(player=1, offer=18, req=8)","exch_trade(player=1, offer=6, req=8)",False
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,BUY_PROPERTY,BUY_PROPERTY,END_TURN,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,auction,auction_pass,auction_pass,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,exch_trade,"exch_trade(player=1, offer=18, req=8)","exch_trade(player=1, offer=6, req=8)",False
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,exch_trade,"exch_trade(player=1, offer=18, req=8)","exch_trade(player=1, offer=6, req=8)",False
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,BUY_PROPERTY,BUY_PROPERTY,BUY_PROPERTY,True
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,exch_trade,"exch_trade(player=1, offer=18, req=8)","exch_trade(player=1, offer=9, req=8)",False
900000,END_TURN,END_TURN,END_TURN,True
900000,ROLL_DICE,ROLL_DICE,ROLL_DICE,True
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,ACCEPT_TRADE,False
900000,END_TURN,END_TURN,END_TURN,True
900000,auction,auction_bid(+$10),auction_bid(+$10),True
900000,auction,auction_pass,auction_pass,True
900000,DECLINE_TRADE,DECLINE_TRADE,DECLINE_TRADE,True
900000,END_TURN,END_TURN,END_TURN,True
900000,DECLINE_TRADE,DECLINE_TRADE,DECLINE_TRADE,True
900000,END_TURN,END_TURN,END_TURN,True
