square,name,color,price,mortgage,base_rent,flip_cash,flip_minus_price,flip_over_price,monotone,coarse_points,seed
1,Mediterranean Avenue,brown,60,30,2,260,200,4.3333,True,101,20250811
3,Baltic Avenue,brown,60,30,4,260,200,4.3333,True,101,20250811
5,Reading Railroad,railroad,200,100,25,392,192,1.96,True,101,20250811
6,Oriental Avenue,lightblue,100,50,6,298,198,2.98,True,101,20250811
8,Vermont Avenue,lightblue,100,50,6,298,198,2.98,True,101,20250811
9,Connecticut Avenue,lightblue,120,60,8,318,198,2.65,True,101,20250811
11,St. Charles Place,pink,140,70,10,338,198,2.4143,True,101,20250811
12,Electric Company,utility,150,75,4,345,195,2.3,True,101,20250811
13,States Avenue,pink,140,70,10,340,200,2.4286,True,101,20250811
14,Virginia Avenue,pink,160,80,12,360,200,2.25,True,101,20250811
15,Pennsylvania Railroad,railroad,200,100,25,399,199,1.995,True,101,20250811
16,St. James Place,orange,180,90,14,380,200,2.1111,True,101,20250811
18,Tennessee Avenue,orange,180,90,14,380,200,2.1111,True,101,20250811
19,New York Avenue,orange,200,100,16,400,200,2.0,True,101,20250811
21,Kentucky Avenue,red,220,110,18,420,200,1.9091,True,101,20250811
23,Indiana Avenue,red,220,110,18,420,200,1.9091,True,101,20250811
24,Illinois Avenue,red,240,120,20,440,200,1.8333,True,101,20250811
25,B&O Railroad,railroad,200,100,25,400,200,2.0,True,101,20250811
26,Atlantic Avenue,yellow,260,130,22,460,200,1.7692,True,101,20250811
27,Ventnor Avenue,yellow,260,130,22,460,200,1.7692,True,101,20250811
28,Water Works,utility,150,75,4,350,200,2.3333,True,101,20250811
29,Marvin Gardens,yellow,280,140,24,480,200,1.7143,True,101,20250811
31,Pacific Avenue,green,300,150,26,500,200,1.6667,True,101,20250811
32,North Carolina Ave,green,300,150,26,500,200,1.6667,True,101,20250811
34,Pennsylvania Avenue,green,320,160,28,520,200,1.625,True,101,20250811
35,Short Line Railroad,railroad,200,100,25,400,200,2.0,True,101,20250811
37,Park Place,darkblue,350,175,35,550,200,1.5714,True,101,20250811
39,Boardwalk,darkblue,400,200,50,600,200,1.5,True,101,20250811
