square,name,price,base_rent,opponent_gap,opponent_pos,flip_cash,residual,seed
39,Boardwalk,400,50,1,38,600,0,20250811
39,Boardwalk,400,50,2,37,596,4,20250811
39,Boardwalk,400,50,3,36,592,8,20250811
39,Boardwalk,400,50,4,35,588,12,20250811
39,Boardwalk,400,50,5,34,584,16,20250811
39,Boardwalk,400,50,6,33,579,21,20250811
39,Boardwalk,400,50,7,32,575,25,20250811
39,Boardwalk,400,50,8,31,579,21,20250811
39,Boardwalk,400,50,9,30,582,18,20250811
39,Boardwalk,400,50,10,29,586,14,20250811
39,Boardwalk,400,50,11,28,591,9,20250811
39,Boardwalk,400,50,12,27,594,6,20250811
39,Boardwalk,400,50,13,26,599,1,20250811
39,Boardwalk,400,50,14,25,598,2,20250811
37,Park Place,350,35,1,36,550,0,20250811
37,Park Place,350,35,2,35,548,2,20250811
37,Park Place,350,35,3,34,545,5,20250811
37,Park Place,350,35,4,33,542,8,20250811
37,Park Place,350,35,5,32,539,11,20250811
37,Park Place,350,35,6,31,536,14,20250811
37,Park Place,350,35,7,30,533,17,20250811
37,Park Place,350,35,8,29,535,15,20250811
37,Park Place,350,35,9,28,538,12,20250811
37,Park Place,350,35,10,27,541,9,20250811
37,Park Place,350,35,11,26,544,6,20250811
37,Park Place,350,35,12,25,546,4,20250811
37,Park Place,350,35,13,24,549,1,20250811
37,Park Place,350,35,14,23,549,1,20250811
34,Pennsylvania Avenue,320,28,1,33,520,0,20250811
34,Pennsylvania Avenue,320,28,2,32,518,2,20250811
34,Pennsylvania Avenue,320,28,3,31,516,4,20250811
34,Pennsylvania Avenue,320,28,4,30,513,7,20250811
34,Pennsylvania Avenue,320,28,5,29,511,9,20250811
34,Pennsylvania Avenue,320,28,6,28,509,11,20250811
34,Pennsylvania Avenue,320,28,7,27,506,14,20250811
34,Pennsylvania Avenue,320,28,8,26,508,12,20250811
34,Pennsylvania Avenue,320,28,9,25,510,10,20250811
34,Pennsylvania Avenue,320,28,10,24,513,7,20250811
34,Pennsylvania Avenue,320,28,11,23,515,5,20250811
34,Pennsylvania Avenue,320,28,12,22,517,3,20250811
34,Pennsylvania Avenue,320,28,13,21,519,1,20250811
34,Pennsylvania Avenue,320,28,14,20,519,1,20250811
26,Atlantic Avenue,260,22,1,25,460,0,20250811
26,Atlantic Avenue,260,22,2,24,459,1,20250811
26,Atlantic Avenue,260,22,3,23,457,3,20250811
26,Atlantic Avenue,260,22,4,22,455,5,20250811
26,Atlantic Avenue,260,22,5,21,453,7,20250811
26,Atlantic Avenue,260,22,6,20,451,9,20250811
26,Atlantic Avenue,260,22,7,19,449,11,20250811
26,Atlantic Avenue,260,22,8,18,451,9,20250811
26,Atlantic Avenue,260,22,9,17,453,7,20250811
26,Atlantic Avenue,260,22,10,16,454,6,20250811
26,Atlantic Avenue,260,22,11,15,456,4,20250811
26,Atlantic Avenue,260,22,12,14,458,2,20250811
26,Atlantic Avenue,260,22,13,13,460,0,20250811
26,Atlantic Avenue,260,22,14,12,460,0,20250811
24,Illinois Avenue,240,20,1,23,440,0,20250811
24,Illinois Avenue,240,20,2,22,439,1,20250811
24,Illinois Avenue,240,20,3,21,437,3,20250811
24,Illinois Avenue,240,20,4,20,435,5,20250811
24,Illinois Avenue,240,20,5,19,434,6,20250811
24,Illinois Avenue,240,20,6,18,432,8,20250811
24,Illinois Avenue,240,20,7,17,430,10,20250811
24,Illinois Avenue,240,20,8,16,432,8,20250811
24,Illinois Avenue,240,20,9,15,433,7,20250811
24,Illinois Avenue,240,20,10,14,435,5,20250811
24,Illinois Avenue,240,20,11,13,436,4,20250811
24,Illinois Avenue,240,20,12,12,438,2,20250811
24,Illinois Avenue,240,20,13,11,440,0,20250811
24,Illinois Avenue,240,20,14,10,440,0,20250811
