decision,rival_houses,position,our_pos,spend_cost,flip_cash,cushion_after_spend,action_below_flip,action_at_flip,seed
build,0,near,25,100,324,224,END_TURN,improve_house(sq=19),20250811
build,0,far,1,100,301,201,END_TURN,improve_house(sq=19),20250811
build,1,near,25,100,359,259,END_TURN,improve_house(sq=19),20250811
build,1,far,1,100,301,201,END_TURN,improve_house(sq=19),20250811
build,2,near,25,100,477,377,END_TURN,improve_house(sq=19),20250811
build,2,far,1,100,301,201,END_TURN,improve_house(sq=19),20250811
build,3,near,25,100,771,671,END_TURN,improve_house(sq=19),20250811
build,3,far,1,100,771,671,END_TURN,improve_house(sq=19),20250811
build,4,near,25,100,971,871,END_TURN,improve_house(sq=19),20250811
build,4,far,1,100,971,871,END_TURN,improve_house(sq=19),20250811
build,5,near,25,100,1171,1071,END_TURN,improve_house(sq=19),20250811
build,5,far,1,100,1171,1071,END_TURN,improve_house(sq=19),20250811
unmortgage,0,near,25,99,493,394,improve_house(sq=19),unmortgage(sq=16),20250811
unmortgage,0,far,1,99,493,394,improve_house(sq=19),unmortgage(sq=16),20250811
unmortgage,1,near,25,99,358,259,END_TURN,unmortgage(sq=16),20250811
unmortgage,1,far,1,99,348,249,improve_house(sq=19),unmortgage(sq=16),20250811
unmortgage,2,near,25,99,1185,1086,improve_house(sq=19),unmortgage(sq=16),20250811
unmortgage,2,far,1,99,1185,1086,improve_house(sq=19),unmortgage(sq=16),20250811
unmortgage,3,near,25,99,820,721,END_TURN,unmortgage(sq=16),20250811
unmortgage,3,far,1,99,820,721,END_TURN,unmortgage(sq=16),20250811
unmortgage,4,near,25,99,,,,,20250811
unmortgage,4,far,1,99,,,,,20250811
unmortgage,5,near,25,99,,,,,20250811
unmortgage,5,far,1,99,,,,,20250811
