color,group,prices,cash,houses_available,hotels_available,first_built,n_improvements,final_houses,spent,sequence,stopped_on,seed
brown,1|3,60|60,5000,32,12,improve_house(sq=3),10,5|5,500,improve_house(sq=3) -> improve_house(sq=1) -> improve_house(sq=3) -> improve_house(sq=1) -> improve_house(sq=3) -> improve_house(sq=1) -> improve_house(sq=3) -> improve_house(sq=1) -> improve_hotel(sq=3) -> improve_hotel(sq=1),END_TURN,20250811
brown,1|3,60|60,5000,3,0,improve_house(sq=3),1,0|1,50,improve_house(sq=3),END_TURN,20250811
brown,1|3,60|60,400,32,12,improve_house(sq=3),4,2|2,200,improve_house(sq=3) -> improve_house(sq=1) -> improve_house(sq=3) -> improve_house(sq=1),END_TURN,20250811
lightblue,6|8|9,100|100|120,5000,32,12,improve_house(sq=9),15,5|5|5,750,improve_house(sq=9) -> improve_house(sq=8) -> improve_house(sq=6) -> improve_house(sq=8) -> improve_house(sq=6) -> improve_house(sq=9) -> improve_house(sq=9) -> improve_house(sq=8) -> improve_house(sq=6) -> improve_house(sq=9) -> improve_house(sq=8) -> improve_house(sq=6) -> improve_hotel(sq=8) -> improve_hotel(sq=6) -> improve_hotel(sq=9),END_TURN,20250811
lightblue,6|8|9,100|100|120,5000,3,0,improve_house(sq=9),1,0|0|1,50,improve_house(sq=9),END_TURN,20250811
lightblue,6|8|9,100|100|120,400,32,12,improve_house(sq=9),8,2|3|3,400,improve_house(sq=9) -> improve_house(sq=8) -> improve_house(sq=6) -> improve_house(sq=8) -> improve_house(sq=6) -> improve_house(sq=9) -> improve_house(sq=9) -> improve_house(sq=8),END_TURN,20250811
pink,11|13|14,140|140|160,5000,32,12,improve_house(sq=14),15,5|5|5,1500,improve_house(sq=14) -> improve_house(sq=11) -> improve_house(sq=13) -> improve_house(sq=14) -> improve_house(sq=11) -> improve_house(sq=13) -> improve_house(sq=14) -> improve_house(sq=11) -> improve_house(sq=13) -> improve_house(sq=14) -> improve_house(sq=11) -> improve_house(sq=13) -> improve_hotel(sq=14) -> improve_hotel(sq=11) -> improve_hotel(sq=13),END_TURN,20250811
pink,11|13|14,140|140|160,5000,3,0,improve_house(sq=14),1,0|0|1,100,improve_house(sq=14),END_TURN,20250811
pink,11|13|14,140|140|160,400,32,12,improve_house(sq=14),2,1|0|1,200,improve_house(sq=14) -> improve_house(sq=11),END_TURN,20250811
orange,16|18|19,180|180|200,5000,32,12,improve_house(sq=19),15,5|5|5,1500,improve_house(sq=19) -> improve_house(sq=16) -> improve_house(sq=18) -> improve_house(sq=19) -> improve_house(sq=16) -> improve_house(sq=18) -> improve_house(sq=19) -> improve_house(sq=16) -> improve_house(sq=18) -> improve_house(sq=16) -> improve_house(sq=18) -> improve_house(sq=19) -> improve_hotel(sq=16) -> improve_hotel(sq=18) -> improve_hotel(sq=19),END_TURN,20250811
orange,16|18|19,180|180|200,5000,3,0,improve_house(sq=19),1,0|0|1,100,improve_house(sq=19),END_TURN,20250811
orange,16|18|19,180|180|200,400,32,12,improve_house(sq=19),2,1|0|1,200,improve_house(sq=19) -> improve_house(sq=16),END_TURN,20250811
