debt,start_houses_per_orange,n_actions,first_action,first_kind,went_bankrupt,sold_house_before_mortgage,kind_order,sequence,seed
50,0,1,mortgage(sq=18),mortgage,False,,mortgage,mortgage(sq=18),20250811
150,0,2,mortgage(sq=18),mortgage,False,,mortgage -> mortgage,mortgage(sq=18) -> mortgage(sq=16),20250811
300,0,4,mortgage(sq=18),mortgage,False,,mortgage -> mortgage -> mortgage -> mortgage,mortgage(sq=18) -> mortgage(sq=16) -> mortgage(sq=19) -> mortgage(sq=15),20250811
600,0,6,mortgage(sq=18),mortgage,False,,mortgage -> mortgage -> mortgage -> mortgage -> mortgage -> mortgage,mortgage(sq=18) -> mortgage(sq=16) -> mortgage(sq=19) -> mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39),20250811
1000,0,7,mortgage(sq=18),mortgage,True,,mortgage -> mortgage -> mortgage -> mortgage -> mortgage -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=18) -> mortgage(sq=16) -> mortgage(sq=19) -> mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39) -> DECLARE_BANKRUPT,20250811
1600,0,7,mortgage(sq=18),mortgage,True,,mortgage -> mortgage -> mortgage -> mortgage -> mortgage -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=18) -> mortgage(sq=16) -> mortgage(sq=19) -> mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39) -> DECLARE_BANKRUPT,20250811
2500,0,7,mortgage(sq=18),mortgage,True,,mortgage -> mortgage -> mortgage -> mortgage -> mortgage -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=18) -> mortgage(sq=16) -> mortgage(sq=19) -> mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39) -> DECLARE_BANKRUPT,20250811
50,2,1,mortgage(sq=15),mortgage,False,,mortgage,mortgage(sq=15),20250811
150,2,2,mortgage(sq=15),mortgage,False,,mortgage -> mortgage,mortgage(sq=15) -> mortgage(sq=5),20250811
300,2,4,mortgage(sq=15),mortgage,False,False,mortgage -> mortgage -> sell_house -> sell_house,mortgage(sq=15) -> mortgage(sq=5) -> sell_house(sq=18) -> sell_house(sq=18),20250811
600,2,9,mortgage(sq=15),mortgage,False,False,mortgage -> mortgage -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> mortgage -> mortgage,mortgage(sq=15) -> mortgage(sq=5) -> sell_house(sq=18) -> sell_house(sq=18) -> mortgage(sq=18) -> sell_house(sq=16) -> sell_house(sq=16) -> mortgage(sq=16) -> mortgage(sq=39),20250811
1000,2,13,mortgage(sq=15),mortgage,True,False,mortgage -> mortgage -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> mortgage -> mortgage -> sell_house -> sell_house -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=15) -> mortgage(sq=5) -> sell_house(sq=18) -> sell_house(sq=18) -> mortgage(sq=18) -> sell_house(sq=16) -> sell_house(sq=16) -> mortgage(sq=16) -> mortgage(sq=39) -> sell_house(sq=19) -> sell_house(sq=19) -> mortgage(sq=19) -> DECLARE_BANKRUPT,20250811
1600,2,13,mortgage(sq=15),mortgage,True,False,mortgage -> mortgage -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> mortgage -> mortgage -> sell_house -> sell_house -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=15) -> mortgage(sq=5) -> sell_house(sq=18) -> sell_house(sq=18) -> mortgage(sq=18) -> sell_house(sq=16) -> sell_house(sq=16) -> mortgage(sq=16) -> mortgage(sq=39) -> sell_house(sq=19) -> sell_house(sq=19) -> mortgage(sq=19) -> DECLARE_BANKRUPT,20250811
2500,2,13,mortgage(sq=15),mortgage,True,False,mortgage -> mortgage -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> mortgage -> mortgage -> sell_house -> sell_house -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=15) -> mortgage(sq=5) -> sell_house(sq=18) -> sell_house(sq=18) -> mortgage(sq=18) -> sell_house(sq=16) -> sell_house(sq=16) -> mortgage(sq=16) -> mortgage(sq=39) -> sell_house(sq=19) -> sell_house(sq=19) -> mortgage(sq=19) -> DECLARE_BANKRUPT,20250811
50,4,1,mortgage(sq=15),mortgage,False,,mortgage,mortgage(sq=15),20250811
150,4,2,mortgage(sq=15),mortgage,False,,mortgage -> mortgage,mortgage(sq=15) -> mortgage(sq=5),20250811
300,4,3,mortgage(sq=15),mortgage,False,,mortgage -> mortgage -> mortgage,mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39),20250811
600,4,7,mortgage(sq=15),mortgage,False,False,mortgage -> mortgage -> mortgage -> sell_house -> sell_house -> sell_house -> sell_house,mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39) -> sell_house(sq=19) -> sell_house(sq=18) -> sell_house(sq=16) -> sell_house(sq=18),20250811
1000,4,14,mortgage(sq=15),mortgage,False,False,mortgage -> mortgage -> mortgage -> sell_house -> sell_house -> sell_house -> sell_house -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> sell_house -> mortgage,mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39) -> sell_house(sq=19) -> sell_house(sq=18) -> sell_house(sq=16) -> sell_house(sq=18) -> sell_house(sq=18) -> sell_house(sq=18) -> mortgage(sq=18) -> sell_house(sq=16) -> sell_house(sq=16) -> sell_house(sq=16) -> mortgage(sq=16),20250811
1600,4,19,mortgage(sq=15),mortgage,True,False,mortgage -> mortgage -> mortgage -> sell_house -> sell_house -> sell_house -> sell_house -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> sell_house -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39) -> sell_house(sq=19) -> sell_house(sq=18) -> sell_house(sq=16) -> sell_house(sq=18) -> sell_house(sq=18) -> sell_house(sq=18) -> mortgage(sq=18) -> sell_house(sq=16) -> sell_house(sq=16) -> sell_house(sq=16) -> mortgage(sq=16) -> sell_house(sq=19) -> sell_house(sq=19) -> sell_house(sq=19) -> mortgage(sq=19) -> DECLARE_BANKRUPT,20250811
2500,4,19,mortgage(sq=15),mortgage,True,False,mortgage -> mortgage -> mortgage -> sell_house -> sell_house -> sell_house -> sell_house -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> sell_house -> mortgage -> sell_house -> sell_house -> sell_house -> mortgage -> DECLARE_BANKRUPT,mortgage(sq=15) -> mortgage(sq=5) -> mortgage(sq=39) -> sell_house(sq=19) -> sell_house(sq=18) -> sell_house(sq=16) -> sell_house(sq=18) -> sell_house(sq=18) -> sell_house(sq=18) -> mortgage(sq=18) -> sell_house(sq=16) -> sell_house(sq=16) -> sell_house(sq=16) -> mortgage(sq=16) -> sell_house(sq=19) -> sell_house(sq=19) -> sell_house(sq=19) -> mortgage(sq=19) -> DECLARE_BANKRUPT,20250811
