category,label,n_legal,value_action,value_desc,rollout_action,rollout_desc,agree,value_seconds,rollout_seconds,seed
buy,sq1_off-1,2,1,END_TURN,1,END_TURN,True,0.44686,4.6747,20250811
buy,sq1_off0,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00083,5.7262,20250811
buy,sq1_off1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.0009,5.1604,20250811
buy,sq1_off25,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00089,5.1613,20250811
buy,sq3_off-1,2,1,END_TURN,1,END_TURN,True,0.00136,2.5438,20250811
buy,sq3_off0,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00097,5.0882,20250811
buy,sq3_off1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.43845,8.0724,20250811
buy,sq3_off25,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00098,5.3054,20250811
buy,sq5_off-1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00126,5.1788,20250811
buy,sq5_off0,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00081,5.0099,20250811
buy,sq5_off1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00104,4.7352,20250811
buy,sq5_off25,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00077,4.5973,20250811
buy,sq6_off-1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.43843,7.8203,20250811
buy,sq6_off0,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00135,5.1758,20250811
buy,sq6_off1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00122,5.1037,20250811
buy,sq6_off25,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.0008,4.8608,20250811
buy,sq8_off-1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00079,4.9646,20250811
buy,sq8_off0,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.00099,4.6117,20250811
buy,sq8_off1,2,3,BUY_PROPERTY,3,BUY_PROPERTY,True,0.40426,7.8472,20250811
