board,n_candidates,our_deeds,rival_deeds,our_full_groups,dev_level,houses_avail,our_cash,proposed,teacher_action,teacher_target,teacher_offer,teacher_request,teacher_offer_color,teacher_req_color,model_rank_of_teacher_choice,model_top_action,model_top_offer,model_top_request,model_top1_correct,seed
0,35,5,4,1,0,32,2000,True,"exch_trade(player=2, offer=19, req=31)",3,19,31,orange,green,11,"exch_trade(player=2, offer=1, req=31)",1,31,False,770001
1,20,5,4,0,0,32,700,True,"exch_trade(player=2, offer=12, req=18)",3,12,18,utility,orange,7,"exch_trade(player=2, offer=12, req=37)",12,37,False,770002
2,12,4,3,0,0,32,250,False,"sell_trade(player=0, prop=15, price=1.25x)",,,,,,,"exch_trade(player=2, offer=15, req=23)",15,23,False,770003
3,20,5,2,0,0,16,250,True,"exch_trade(player=1, offer=21, req=19)",2,21,19,red,orange,18,"exch_trade(player=0, offer=5, req=29)",5,29,False,770004
4,25,5,4,0,0,16,150,False,"sell_trade(player=0, prop=6, price=0.75x)",,,,,,,"exch_trade(player=2, offer=28, req=23)",28,23,False,770005
5,20,5,3,0,0,6,1200,False,unmortgage(sq=18),,,,,,,"exch_trade(player=2, offer=6, req=37)",6,37,False,770006
6,35,5,5,0,0,32,250,True,"exch_trade(player=2, offer=8, req=21)",3,8,21,lightblue,red,6,"exch_trade(player=2, offer=1, req=34)",1,34,False,770007
7,10,2,4,0,0,16,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=14, req=34)",14,34,False,770008
8,12,2,5,0,1,32,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=35, req=29)",35,29,False,770009
9,16,2,5,0,0,6,1200,True,"exch_trade(player=1, offer=16, req=11)",2,16,11,orange,pink,8,"exch_trade(player=2, offer=14, req=32)",14,32,False,770010
10,45,5,5,0,0,32,250,True,"exch_trade(player=2, offer=11, req=16)",3,11,16,pink,orange,18,"exch_trade(player=1, offer=3, req=39)",3,39,False,770011
11,24,4,3,0,0,16,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=5, req=34)",5,34,False,770012
12,12,4,3,0,0,32,250,False,END_TURN,,,,,,,"exch_trade(player=2, offer=28, req=24)",28,24,False,770013
13,12,2,2,0,0,32,1200,False,unmortgage(sq=8),,,,,,,"exch_trade(player=0, offer=8, req=32)",8,32,False,770014
14,25,5,2,0,0,2,400,False,unmortgage(sq=31),,,,,,,"exch_trade(player=2, offer=14, req=32)",14,32,False,770015
15,16,2,5,0,0,6,3500,True,"exch_trade(player=0, offer=16, req=29)",1,16,29,orange,yellow,9,"exch_trade(player=0, offer=3, req=34)",3,34,False,770016
16,25,5,3,1,0,32,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=35, req=37)",35,37,False,770017
17,20,5,3,0,0,32,250,True,"exch_trade(player=2, offer=34, req=14)",3,34,14,green,pink,7,"exch_trade(player=2, offer=9, req=14)",9,14,False,770018
18,30,5,5,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=15, req=23)",15,23,False,770019
19,4,2,2,0,0,32,2000,False,END_TURN,,,,,,,"exch_trade(player=1, offer=19, req=27)",19,27,False,770020
20,6,2,2,0,0,32,1200,False,unmortgage(sq=16),,,,,,,"exch_trade(player=1, offer=12, req=39)",12,39,False,770021
21,14,2,3,0,0,2,1200,False,unmortgage(sq=8),,,,,,,"exch_trade(player=1, offer=3, req=27)",3,27,False,770022
22,15,3,2,0,0,16,1200,False,"buy_trade(player=0, prop=9, price=0.75x)",,,,,,,"exch_trade(player=2, offer=25, req=29)",25,29,False,770023
23,12,4,3,0,0,16,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=18, req=14)",18,14,False,770024
24,9,3,3,0,0,2,1200,False,END_TURN,,,,,,,"exch_trade(player=0, offer=12, req=37)",12,37,False,770025
25,9,3,3,0,2,2,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=18, req=26)",18,26,False,770026
26,30,5,4,0,0,32,700,True,"exch_trade(player=0, offer=35, req=29)",1,35,29,railroad,yellow,11,"exch_trade(player=0, offer=12, req=39)",12,39,False,770027
27,25,5,5,0,0,32,250,False,"sell_trade(player=0, prop=12, price=1.25x)",,,,,,,"exch_trade(player=2, offer=12, req=26)",12,26,False,770028
28,21,3,4,0,0,32,700,False,unmortgage(sq=25),,,,,,,"exch_trade(player=0, offer=25, req=34)",25,34,False,770029
29,12,3,2,0,0,32,250,True,"exch_trade(player=2, offer=13, req=21)",3,13,21,pink,red,3,"exch_trade(player=2, offer=3, req=21)",3,21,False,770030
30,14,2,5,0,0,32,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=23, req=34)",23,34,False,770031
31,14,2,3,0,0,32,400,True,"exch_trade(player=2, offer=23, req=28)",3,23,28,red,utility,8,"exch_trade(player=1, offer=23, req=39)",23,39,False,770032
32,10,2,3,0,0,32,3500,False,END_TURN,,,,,,,"exch_trade(player=2, offer=3, req=21)",3,21,False,770033
33,14,2,3,0,0,32,2000,False,unmortgage(sq=32),,,,,,,"exch_trade(player=2, offer=1, req=34)",1,34,False,770034
34,10,5,2,0,0,6,150,False,"sell_trade(player=1, prop=25, price=1.25x)",,,,,,,"exch_trade(player=2, offer=25, req=3)",25,3,False,770035
35,24,3,4,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=28, req=37)",28,37,False,770036
36,30,5,5,0,0,6,400,False,END_TURN,,,,,,,"exch_trade(player=0, offer=25, req=32)",25,32,False,770037
37,16,2,5,0,0,6,400,False,END_TURN,,,,,,,"exch_trade(player=0, offer=18, req=31)",18,31,False,770038
38,10,2,4,0,0,6,2000,False,unmortgage(sq=34),,,,,,,"exch_trade(player=2, offer=8, req=23)",8,23,False,770039
39,35,5,3,0,0,32,2000,False,unmortgage(sq=26),,,,,,,"exch_trade(player=0, offer=12, req=24)",12,24,False,770040
40,20,5,2,0,0,6,250,False,mortgage(sq=1),,,,,,,"exch_trade(player=1, offer=1, req=21)",1,21,False,770041
41,18,3,4,0,0,16,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=15, req=26)",15,26,False,770042
42,10,2,2,0,0,6,700,True,"exch_trade(player=0, offer=19, req=24)",1,19,24,orange,red,1,"exch_trade(player=0, offer=19, req=24)",19,24,True,770043
43,15,3,3,0,0,6,3500,False,unmortgage(sq=39),,,,,,,"exch_trade(player=1, offer=24, req=34)",24,34,False,770044
44,15,5,3,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=28, req=29)",28,29,False,770045
45,14,2,4,0,0,32,250,False,"sell_trade(player=0, prop=11, price=1.25x)",,,,,,,"exch_trade(player=2, offer=11, req=39)",11,39,False,770046
46,20,5,2,0,0,6,700,False,unmortgage(sq=14),,,,,,,"exch_trade(player=2, offer=28, req=37)",28,37,False,770047
47,21,3,3,0,0,6,2000,True,"exch_trade(player=2, offer=31, req=19)",3,31,19,green,orange,15,"exch_trade(player=2, offer=1, req=29)",1,29,False,770048
48,8,2,2,0,0,32,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=1, req=32)",1,32,False,770049
49,24,4,4,0,0,2,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=11, req=24)",11,24,False,770050
50,6,2,2,0,0,32,1200,False,END_TURN,,,,,,,"exch_trade(player=0, offer=5, req=31)",5,31,False,770051
51,18,3,2,0,0,32,1200,False,END_TURN,,,,,,,"exch_trade(player=2, offer=35, req=26)",35,26,False,770052
52,21,3,3,0,0,2,1200,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=26)",12,26,False,770053
53,9,3,2,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=15, req=23)",15,23,False,770054
54,12,3,2,0,0,6,2000,False,unmortgage(sq=26),,,,,,,"exch_trade(player=2, offer=28, req=24)",28,24,False,770055
55,12,3,3,0,0,6,1200,False,unmortgage(sq=1),,,,,,,"exch_trade(player=2, offer=12, req=26)",12,26,False,770056
56,18,3,2,0,0,16,3500,True,"exch_trade(player=1, offer=32, req=18)",2,32,18,green,orange,9,"exch_trade(player=1, offer=15, req=18)",15,18,False,770057
57,8,2,3,0,0,16,700,True,"exch_trade(player=1, offer=27, req=13)",2,27,13,yellow,pink,7,"exch_trade(player=0, offer=14, req=21)",14,21,False,770058
58,15,3,5,0,0,6,2000,True,"exch_trade(player=1, offer=14, req=39)",2,14,39,pink,darkblue,2,"exch_trade(player=1, offer=28, req=39)",28,39,False,770059
59,10,5,2,0,0,16,400,False,unmortgage(sq=1),,,,,,,"exch_trade(player=1, offer=12, req=16)",12,16,False,770060
60,36,4,5,0,0,32,250,False,"sell_trade(player=0, prop=27, price=0.75x)",,,,,,,"exch_trade(player=0, offer=5, req=34)",5,34,False,770061
61,8,2,2,0,0,32,250,False,END_TURN,,,,,,,"exch_trade(player=2, offer=13, req=31)",13,31,False,770062
62,24,3,4,0,0,32,700,True,"exch_trade(player=2, offer=26, req=24)",3,26,24,yellow,red,8,"exch_trade(player=2, offer=9, req=39)",9,39,False,770063
63,28,4,3,0,0,32,250,False,"sell_trade(player=0, prop=18, price=0.75x)",,,,,,,"exch_trade(player=0, offer=28, req=26)",28,26,False,770064
64,20,5,3,0,0,32,3500,True,"exch_trade(player=1, offer=27, req=15)",2,27,15,yellow,railroad,20,"exch_trade(player=0, offer=35, req=37)",35,37,False,770065
65,35,5,5,0,0,32,1200,True,"exch_trade(player=1, offer=6, req=12)",2,6,12,lightblue,utility,27,"exch_trade(player=1, offer=28, req=29)",28,29,False,770066
66,20,4,2,0,0,2,400,True,"exch_trade(player=0, offer=31, req=26)",1,31,26,green,yellow,14,"exch_trade(player=1, offer=12, req=34)",12,34,False,770067
67,18,3,2,0,0,32,250,True,"exch_trade(player=1, offer=26, req=25)",2,26,25,yellow,railroad,16,"exch_trade(player=1, offer=16, req=21)",16,21,False,770068
68,12,2,5,0,4,16,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=13, req=34)",13,34,False,770069
69,8,2,3,0,0,6,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=19, req=21)",19,21,False,770070
70,12,4,2,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=24)",12,24,False,770071
71,18,3,3,0,0,16,2000,True,"exch_trade(player=1, offer=18, req=21)",2,18,21,orange,red,4,"exch_trade(player=2, offer=13, req=27)",13,27,False,770072
72,10,5,2,0,0,2,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=25, req=31)",25,31,False,770073
73,6,2,3,0,0,32,1200,True,"exch_trade(player=2, offer=19, req=15)",3,19,15,orange,railroad,3,"exch_trade(player=2, offer=19, req=31)",19,31,False,770074
74,18,3,4,0,0,32,150,False,"sell_trade(player=0, prop=35, price=0.75x)",,,,,,,"exch_trade(player=1, offer=35, req=27)",35,27,False,770075
75,10,2,3,0,0,2,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=13, req=29)",13,29,False,770076
76,16,4,2,0,0,16,1200,True,"exch_trade(player=2, offer=23, req=5)",3,23,5,red,railroad,14,"exch_trade(player=1, offer=3, req=21)",3,21,False,770077
77,24,3,4,0,0,2,3500,False,unmortgage(sq=39),,,,,,,"exch_trade(player=2, offer=12, req=31)",12,31,False,770078
78,24,4,4,0,0,32,1200,False,unmortgage(sq=31),,,,,,,"exch_trade(player=2, offer=15, req=19)",15,19,False,770079
79,6,2,2,0,0,16,700,False,END_TURN,,,,,,,"exch_trade(player=0, offer=16, req=27)",16,27,False,770080
80,20,5,4,0,0,16,400,True,"exch_trade(player=0, offer=9, req=25)",1,9,25,lightblue,railroad,10,"exch_trade(player=0, offer=15, req=23)",15,23,False,770081
81,10,2,5,0,0,32,3500,True,"exch_trade(player=0, offer=15, req=23)",1,15,23,railroad,red,4,"exch_trade(player=0, offer=15, req=39)",15,39,False,770082
82,9,3,3,0,0,32,150,False,"sell_trade(player=2, prop=6, price=1.0x)",,,,,,,"exch_trade(player=0, offer=5, req=31)",5,31,False,770083
83,12,2,3,0,0,32,400,False,END_TURN,,,,,,,"exch_trade(player=1, offer=16, req=39)",16,39,False,770084
84,10,2,2,0,0,32,3500,False,END_TURN,,,,,,,"exch_trade(player=1, offer=5, req=37)",5,37,False,770085
85,20,5,4,0,0,32,1200,False,END_TURN,,,,,,,"exch_trade(player=1, offer=35, req=16)",35,16,False,770086
86,10,2,2,0,0,32,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=26)",12,26,False,770087
87,6,2,3,0,0,2,700,False,unmortgage(sq=34),,,,,,,"exch_trade(player=0, offer=32, req=39)",32,39,False,770088
88,15,3,3,0,0,32,400,False,"sell_trade(player=1, prop=27, price=1.25x)",,,,,,,"exch_trade(player=2, offer=12, req=21)",12,21,False,770089
89,10,5,2,0,0,6,250,False,"sell_trade(player=1, prop=13, price=0.75x)",,,,,,,"exch_trade(player=2, offer=35, req=32)",35,32,False,770090
90,16,4,3,0,0,6,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=1, req=27)",1,27,False,770091
91,10,2,2,0,0,2,250,False,END_TURN,,,,,,,"exch_trade(player=2, offer=28, req=39)",28,39,False,770092
92,12,2,5,0,0,16,1200,True,"exch_trade(player=1, offer=25, req=21)",2,25,21,railroad,red,3,"exch_trade(player=1, offer=25, req=29)",25,29,False,770093
93,8,2,4,0,0,2,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=5, req=23)",5,23,False,770094
94,12,2,5,0,0,2,400,False,END_TURN,,,,,,,"exch_trade(player=1, offer=24, req=32)",24,32,False,770095
95,40,5,4,0,0,16,700,False,"buy_trade(player=2, prop=27, price=0.75x)",,,,,,,"exch_trade(player=2, offer=25, req=32)",25,32,False,770096
96,8,2,2,0,0,6,1200,False,unmortgage(sq=26),,,,,,,"exch_trade(player=2, offer=14, req=21)",14,21,False,770097
97,27,3,5,0,0,6,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=3, req=37)",3,37,False,770098
98,24,3,4,0,0,16,150,False,"sell_trade(player=0, prop=31, price=1.0x)",,,,,,,"exch_trade(player=2, offer=19, req=39)",19,39,False,770099
99,45,5,5,0,0,16,400,True,"exch_trade(player=2, offer=19, req=9)",3,19,9,orange,lightblue,39,"exch_trade(player=1, offer=12, req=39)",12,39,False,770100
100,25,5,4,0,0,2,1200,False,unmortgage(sq=26),,,,,,,"exch_trade(player=2, offer=5, req=37)",5,37,False,770101
101,27,3,5,0,0,32,1200,False,END_TURN,,,,,,,"exch_trade(player=1, offer=35, req=39)",35,39,False,770102
102,12,4,5,1,2,6,400,False,improve_house(sq=3),,,,,,,"exch_trade(player=2, offer=5, req=24)",5,24,False,770103
103,18,3,5,0,0,2,1200,False,END_TURN,,,,,,,"exch_trade(player=1, offer=28, req=32)",28,32,False,770104
104,8,5,4,1,2,6,400,False,improve_house(sq=9),,,,,,,"exch_trade(player=1, offer=15, req=29)",15,29,False,770105
105,18,3,4,0,0,32,3500,True,"exch_trade(player=0, offer=11, req=19)",1,11,19,pink,orange,1,"exch_trade(player=0, offer=11, req=19)",11,19,True,770106
106,20,5,3,0,0,32,1200,False,"buy_trade(player=1, prop=25, price=0.75x)",,,,,,,"exch_trade(player=1, offer=12, req=27)",12,27,False,770107
107,10,2,2,0,0,6,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=3, req=37)",3,37,False,770108
108,10,2,3,0,0,6,3500,False,END_TURN,,,,,,,"exch_trade(player=2, offer=3, req=24)",3,24,False,770109
109,36,4,5,0,0,32,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=11, req=31)",11,31,False,770110
110,12,3,3,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=13, req=39)",13,39,False,770111
111,20,5,4,0,0,6,250,False,END_TURN,,,,,,,"exch_trade(player=0, offer=9, req=32)",9,32,False,770112
112,32,4,4,0,0,32,3500,True,"exch_trade(player=0, offer=15, req=31)",1,15,31,railroad,green,1,"exch_trade(player=0, offer=15, req=31)",15,31,True,770113
113,4,2,4,0,4,16,1200,True,"exch_trade(player=2, offer=14, req=6)",3,14,6,pink,lightblue,4,"exch_trade(player=2, offer=8, req=16)",8,16,False,770114
114,28,4,4,0,0,32,3500,False,unmortgage(sq=26),,,,,,,"exch_trade(player=2, offer=1, req=39)",1,39,False,770115
115,8,2,2,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=35, req=34)",35,34,False,770116
116,30,5,3,0,0,16,1200,False,unmortgage(sq=39),,,,,,,"exch_trade(player=1, offer=35, req=26)",35,26,False,770117
117,24,4,3,0,0,6,2000,True,"exch_trade(player=2, offer=5, req=19)",3,5,19,railroad,orange,14,"exch_trade(player=0, offer=28, req=39)",28,39,False,770118
118,30,5,4,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=5, req=31)",5,31,False,770119
119,15,3,3,0,0,2,1200,False,unmortgage(sq=25),,,,,,,"exch_trade(player=0, offer=25, req=39)",25,39,False,770120
120,15,3,3,0,0,2,700,False,unmortgage(sq=9),,,,,,,"exch_trade(player=2, offer=35, req=27)",35,27,False,770121
121,15,3,4,0,0,2,700,False,"buy_trade(player=0, prop=23, price=0.75x)",,,,,,,"exch_trade(player=0, offer=12, req=37)",12,37,False,770122
122,14,2,3,0,0,32,1200,False,"buy_trade(player=1, prop=6, price=1.25x)",,,,,,,"exch_trade(player=1, offer=25, req=37)",25,37,False,770123
123,27,3,5,0,0,2,150,False,"sell_trade(player=0, prop=12, price=1.0x)",,,,,,,"exch_trade(player=1, offer=12, req=34)",12,34,False,770124
124,6,2,3,0,0,32,2000,False,unmortgage(sq=18),,,,,,,"exch_trade(player=0, offer=18, req=37)",18,37,False,770125
125,15,5,3,0,0,32,3500,False,unmortgage(sq=13),,,,,,,"exch_trade(player=0, offer=35, req=26)",35,26,False,770126
126,20,4,5,0,0,32,400,False,"buy_trade(player=0, prop=9, price=0.75x)",,,,,,,"exch_trade(player=0, offer=3, req=39)",3,39,False,770127
127,35,5,3,0,0,6,1200,True,"exch_trade(player=2, offer=26, req=31)",3,26,31,yellow,green,22,"exch_trade(player=1, offer=5, req=34)",5,34,False,770128
128,2,2,4,0,3,32,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=32, req=8)",32,8,False,770129
129,8,2,2,0,0,2,3500,False,unmortgage(sq=34),,,,,,,"exch_trade(player=2, offer=8, req=39)",8,39,False,770130
130,20,5,2,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=5, req=34)",5,34,False,770131
131,35,5,4,1,0,16,2000,False,improve_house(sq=3),,,,,,,"exch_trade(player=2, offer=1, req=39)",1,39,False,770132
132,30,5,2,0,0,32,250,True,"exch_trade(player=0, offer=25, req=23)",1,25,23,railroad,red,1,"exch_trade(player=0, offer=25, req=23)",25,23,True,770133
133,35,5,5,0,0,6,2000,False,unmortgage(sq=9),,,,,,,"exch_trade(player=0, offer=12, req=31)",12,31,False,770134
134,25,5,4,0,0,16,3500,True,"exch_trade(player=2, offer=39, req=29)",3,39,29,darkblue,yellow,15,"exch_trade(player=2, offer=28, req=29)",28,29,False,770135
135,28,4,4,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=35, req=39)",35,39,False,770136
136,20,4,5,0,0,6,400,False,unmortgage(sq=13),,,,,,,"exch_trade(player=1, offer=1, req=34)",1,34,False,770137
137,20,5,2,0,0,16,2000,True,"exch_trade(player=1, offer=31, req=35)",2,31,35,green,railroad,15,"exch_trade(player=2, offer=5, req=18)",5,18,False,770138
138,16,4,3,0,0,16,1200,False,unmortgage(sq=12),,,,,,,"exch_trade(player=0, offer=12, req=31)",12,31,False,770139
139,20,4,2,0,0,32,1200,True,"exch_trade(player=0, offer=16, req=15)",1,16,15,orange,railroad,14,"exch_trade(player=1, offer=12, req=27)",12,27,False,770140
140,16,4,3,0,2,16,1200,True,"exch_trade(player=0, offer=27, req=24)",1,27,24,yellow,red,9,"exch_trade(player=1, offer=8, req=29)",8,29,False,770141
141,14,2,4,0,0,32,2000,True,"exch_trade(player=1, offer=8, req=24)",2,8,24,lightblue,red,7,"exch_trade(player=0, offer=5, req=37)",5,37,False,770142
142,9,3,2,0,0,2,1200,True,"exch_trade(player=1, offer=25, req=34)",2,25,34,railroad,green,1,"exch_trade(player=1, offer=25, req=34)",25,34,True,770143
143,8,2,2,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=13, req=34)",13,34,False,770144
144,24,4,5,0,0,32,700,True,"exch_trade(player=2, offer=21, req=39)",3,21,39,red,darkblue,3,"exch_trade(player=2, offer=6, req=39)",6,39,False,770145
145,14,2,3,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=8, req=39)",8,39,False,770146
146,20,5,4,0,0,16,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=25, req=31)",25,31,False,770147
147,20,5,4,0,4,6,700,False,END_TURN,,,,,,,"exch_trade(player=0, offer=3, req=34)",3,34,False,770148
148,8,2,3,0,0,32,700,True,"exch_trade(player=1, offer=13, req=31)",2,13,31,pink,green,1,"exch_trade(player=1, offer=13, req=31)",13,31,True,770149
149,15,3,5,0,0,32,1200,False,unmortgage(sq=18),,,,,,,"exch_trade(player=2, offer=35, req=31)",35,31,False,770150
150,20,5,3,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=15, req=32)",15,32,False,770151
151,32,4,5,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=35, req=32)",35,32,False,770152
